"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2351","Deve carregar a página inicial corretamente","","2025-12-05","passed","2025-12-05","","SamplerInteraction.SamplerInteractionTest","SamplerInteraction.SamplerInteractionTest","testCarregamentoInicial"
"","520","Deve navegar pelos menus laterais","","2025-12-05","passed","2025-12-05","","SamplerInteraction.SamplerInteractionTest","SamplerInteraction.SamplerInteractionTest","testNavegacaoMenus"
